Article.ID,User.ID,User.Name,KE..Up.,Novel.KE.Up.,KE.up..biomarker,Novel.other.biomarker.KE.up.,KE.Down.,Novel.KE.Down.,KE.down..biomarker,Novel.other.biomarker.KE.down.,Stressor.BA.BP.,chemical,Species.BA.BP.,Test.system.BA.BP.,Dose.concordance..EP.,Time.concordance..EP.,Correlation.KEs..BP.ES.,Evidence.level..EP.ES.BP.BA.,assay.method..EP.ES.BA.,DOI,Notes
14969196,7544,alexandra.gatzios,er_stress,NA,novel,p-ire-1,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,tunicamycin,human,in vitro,yes,nomeasure,positive correlation,functional,other,10.3892/mmr.2016.5453,hepg2 cells
14969196,7544,alexandra.gatzios,er_stress,NA,novel,p-eif2a,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,tunicamycin,human,in vitro,yes,nomeasure,positive correlation,functional,other,10.3892/mmr.2016.5453,hepg2 cells
14969196,7544,alexandra.gatzios,er_stress,NA,novel,atf4,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,tunicamycin,human,in vitro,yes,nomeasure,positive correlation,functional,other,10.3892/mmr.2016.5453,hepg2 cells
14968829,6128,jian.jiang,er_stress,NA,novel,"chop, grp78, p-perk",mitochondrial_beta_oxidation,NA,acad,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional,transcriptional study,10.3390/ijms18081710,er stress has been reported to stimulate lipogenesis
14968829,6128,jian.jiang,er_stress,NA,novel,"chop, grp78, p-perk",mitochondrial_beta_oxidation,NA,cpt1,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.3390/ijms18081710,er stress has been reported to stimulate lipogenesis
14969452,6181,anouk.verhoeven,er_stress,NA,novel,e4bp4,mitochondrial_beta_oxidation,NA,cpt1,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional,transcriptional study;knockout study,https://doi.org/10.1096/fj.20190 3292rr,primary mouse hepatocytes were isolated from mice knockout models
14969452,6181,anouk.verhoeven,er_stress,NA,novel,e4bp4,mitochondrial_beta_oxidation,NA,cpt1,NA,pharmaceutical,tunicamycin,mouse,in vitro,nomeasure,nomeasure,negative correlation,transcriptional,transcriptional study;knockout study,https://doi.org/10.1096/fj.20190 3292rr,primary mouse hepatocytes were isolated from mice knockout models
14968319,6181,anouk.verhoeven,er_stress,NA,novel,"hspa5, hyou1",novel_fibrosis,fibrosis,novel,tgf-b1,pollutant,bisphenol_a_(bpa),mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.lfs.2020.118012,er stress wil lead to furhter progression of fibrosis
14969509,5829,anna.s.rapisarda,er_stress,NA,other,xbp1s,novel_inflammation,inflammation,other,nf-kb,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,positive correlation,transcriptional,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14969509,5829,anna.s.rapisarda,er_stress,NA,other,chop,novel_inflammation,inflammation,other,nf-kb,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,yes,positive correlation,transcriptional,knockout study,10.3390/ijms19082291,liver-specific bap31-depleted mice
14968829,6128,jian.jiang,er_stress,NA,novel,"chop, grp78, p-perk",nuclear_receptor_changes_ppara,NA,ppara,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional,transcriptional study,10.3390/ijms18081710,er stress has been reported to stimulate lipogenesis
14968829,6128,jian.jiang,er_stress,NA,novel,"chop, grp78, p-perk",nuclear_receptor_changes_ppara,NA,ppara,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.3390/ijms18081710,er stress has been reported to stimulate lipogenesis
14967969,7549,marth.stinckens,er_stress,NA,novel,"ire-l_a, atf6, chop, grp78",steatosis,NA,not defined,NA,pharmaceutical,tetracycline,mouse,in vivo,yes,no,positive correlation,functional;translational;transcriptional,translational study;transcriptional study,10.1139/cjpp-2015-0074,NA
14968182,7075,graciela.lopezsoop,er_stress,NA,other,"ddit3, hspa5, xbp-1",steatosis,NA,other,lipid droplets,pollutant,multi_walled_carbon_nanotubes,human,in vitro,yes,nomeasure,positive correlation,functional,translational study;transcriptional study,https://doi.org/10.1016/j.fct.2018.08.033,
14968319,6181,anouk.verhoeven,er_stress,NA,novel,"hspa5, hyou1",steatosis,NA,triglyceride,NA,pollutant,bisphenol_a_(bpa),mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.lfs.2020.118012,NA
14968418,6128,jian.jiang,er_stress,NA,novel,xbp-1,steatosis,NA,novel,"caspase-3, cell death",food supplement,palmitate,mouse,in vitro,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.1159/000487892,"caspase- 3 colorimetric assay kit, mttmtt"
14968600,7075,graciela.lopezsoop,er_stress,NA,other,"homocystein, grp78, chop",steatosis,NA,ast;triglyceride;other,hdl,food supplement,methionine,mouse,in vitro,nomeasure,nomeasure,positive correlation,translational,translational study,doi:10.3390/nu9040346,
14968829,6128,jian.jiang,er_stress,NA,novel,"chop, grp78, p-perk",steatosis,NA,novel,glycogen,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,nomeasure,negative correlation,translational,translational study,10.3390/ijms18081710,er stress has been reported to stimulate lipogenesis
14968829,6128,jian.jiang,er_stress,NA,novel,"chop, grp78, p-perk",steatosis,NA,ast,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.3390/ijms18081710,er stress has been reported to stimulate lipogenesis
14968829,6128,jian.jiang,er_stress,NA,novel,"chop, grp78, p-perk",steatosis,NA,novel,alt,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,inhibitor/inducer study,10.3390/ijms18081710,er stress has been reported to stimulate lipogenesis
14969403,5956,birgitte.lindeman,er_stress,NA,other,"grp78, uxbp1, er dilation and swelling,",steatosis,NA,triglyceride;other,NA,alcohol,ethanol,mouse,in vivo,yes,nomeasure,positive correlation,other,other,doi:10.3390/biom9100560,adh negative deer mice
14968761,6181,anouk.verhoeven,er_stress,NA,novel,ate4;chop,novel_autophagy,autophagy,novel,lamp2,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study;knockout study,10.3390/cells10102730,NA
14968761,6181,anouk.verhoeven,er_stress,NA,novel,ate4;chop,novel_autophagy,autophagy,novel,lamp2,alcohol,ethanol,mouse,in vitro,nomeasure,nomeasure,positive correlation,translational,translational study;inhibitor/inducer study,10.3390/cells10102730,NA
14968829,6128,jian.jiang,er_stress,NA,novel,"chop, grp78, p-perk",vldl_secretion,NA,apob100,NA,pharmaceutical,tunicamycin,mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional,transcriptional study,10.3390/ijms18081710,er stress has been reported to stimulate lipogenesis
14969329,7544,alexandra.gatzios,fa_uptake,NA,cd36,NA,fa_uptake,NA,triglyceride,NA,alcohol,ethanol,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,10.1038/srep26826,
14968155,6181,anouk.verhoeven,fa_uptake,NA,novel,fabp1,fatty_liver,NA,novel,lipid droplets (microvescular),pharmaceutical,fenofibrate,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,,NA
14968155,6181,anouk.verhoeven,fatty_liver,NA,novel,lipid droplets (microvescular),steatosis,NA,novel,lipid droplets (microvescular),pharmaceutical,fenofibrate,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,,NA
14968812,5956,birgitte.lindeman,fa_uptake,NA,cd36;other;mttp(mtp),"fabp, fatp2, fatp5, abca1",fatty_liver,NA,other,"ceramide, sphinganine, sphingosine",pharmaceutical,dexamethasone,rat,in vitro,nomeasure,no,positive correlation,functional;translational,other,doi.org/10.1530/jme-16-0108,
14968812,5956,birgitte.lindeman,fa_uptake,NA,cd36;other;mttp(mtp),"fabp, fatp2, fatp5, abca1",fatty_liver,NA,other,"dag, dag desaturation index",pharmaceutical,dexamethasone,rat,in vitro,nomeasure,yes,positive correlation,functional;translational,other,doi.org/10.1530/jme-16-0108,
14968812,5956,birgitte.lindeman,fa_uptake,NA,cd36;other;mttp(mtp),"fabp, fatp2, fatp5, abca1",fatty_liver,NA,triglyceride;other,fa composition,pharmaceutical,dexamethasone,rat,in vitro,nomeasure,no,positive correlation,functional;translational,other,doi.org/10.1530/jme-16-0108,
14968812,5956,birgitte.lindeman,fa_uptake,NA,cd36;other;mttp(mtp),"fabp, fatp2, fatp5, abca1",fatty_liver,NA,scd1,NA,pharmaceutical,dexamethasone,rat,in vitro,nomeasure,yes,positive correlation,translational,translational study,doi.org/10.1530/jme-16-0108,
14968037,6181,anouk.verhoeven,fa_uptake,NA,novel,fabp(pm),liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,dexamethasone,human,in vitro,no,yes,positive correlation,translational;functional,translational study;other,https://doi.org/10.1016/j.bbrc.2021.11.044,NA
14968077,6181,anouk.verhoeven,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,benzobromarone,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.bbadis.2018.03.009,cd36 increased dose-dependently.
14968077,6181,anouk.verhoeven,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,benzobromarone,human,in vitro,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.bbadis.2018.03.009,cd36 increased dose-dependently.
14968089,6181,anouk.verhoeven,fa_uptake,NA,other,fabp3 and fabp11a,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,estradiol,fish,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.cbpb.2019.110335,lpl and ldl3 decreased dose dependently
14968169,6128,jian.jiang,fa_uptake,NA,novel,"fabp6, lpl",liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,6:2_chlorinated_polyfluoroalkyl_ether_sulfonate_(6:2_cl_pfesa),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,
14968169,6128,jian.jiang,fa_uptake,NA,novel,fabp6,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,8:2_chlorinated_polyfluoroalkyl_ether_sulfonate_(8:2_cl_pfesa),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,
14968169,6128,jian.jiang,fa_uptake,NA,novel,fabp6,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,chlorinated_polyfluorooctane_sulfonate_(cl_pfos),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.envint.2019.105262,
14968189,6181,anouk.verhoeven,fa_uptake,NA,novel,fabp4,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,valproic_acid_(vpa),human,in vitro,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study;knockout study,10.1016/j.toxlet.2021.04.016.,tg accumulation was time and dose-dependent
14968281,6181,anouk.verhoeven,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,valproic_acid_(vpa),human,in vitro,nomeasure,nomeasure,positive correlation,translational;transcriptional,translational study;inhibitor/inducer study;transcriptional study,10.1016/j.tox.2020.152585.,NA
14968281,6181,anouk.verhoeven,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,valproic_acid_(vpa),mouse,in vivo,nomeasure,nomeasure,positive correlation,translational;transcriptional,translational study;inhibitor/inducer study;transcriptional study,10.1016/j.tox.2020.152585.,NA
14968292,6181,anouk.verhoeven,fa_uptake,NA,cd36;novel,fatp1 and fatp2,liver_triglyceride_accumulation,NA,triglyceride;novel,adrp,pharmaceutical,valproic_acid_(vpa),human,in vitro,yes,yes,positive correlation,transcriptional;translational;functional,transcriptional study;translational study,https://doi.org/10.1016/j.bcp.2020.113860,adrp is a protein on the membrane of lipid droplets
14968357,6181,anouk.verhoeven,fa_uptake,NA,cd36;other,fatp2 and fatp5,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,fluoxetine,rat,in vitro,nomeasure,yes,positive correlation,functional,inhibitor/inducer study,,cd36 uptake was increased after 1h incubation with the drug and after 24h the tg was increased
14968405,6128,jian.jiang,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,triclosan_(tcs),mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.jhazmat.2019.121310,
14968405,6128,jian.jiang,fa_uptake,NA,novel,"fabppm, fatp2, fatp5",liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,triclosan_(tcs),mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.jhazmat.2019.121310,
14968407,6128,jian.jiang,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,perfluorooctanoic_acid_(pfoa),mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study;inhibitor/inducer study,10.1016/j.gene.2017.04.024,pfoa environmental pollutant
14968407,6128,jian.jiang,fa_uptake,NA,novel,lipoprotein lipase (lpl),liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,perfluorooctanoic_acid_(pfoa),mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study;inhibitor/inducer study,10.1016/j.gene.2017.04.024,pfoa environmental pollutant
14968409,6128,jian.jiang,fa_uptake,NA,novel,fatp5,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,olanzapine,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.toxlet.2019.08.013,"oil red staining, liver tg con."
14968409,6128,jian.jiang,fa_uptake,NA,novel,"fatp2, fabp1, fatp5",liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,olanzapine,human,in vitro,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study;inhibitor/inducer study,10.1016/j.toxlet.2019.08.013,phh derived from one woman.
14968409,6128,jian.jiang,fa_uptake,NA,novel,"fatp2, fabp1",liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,olanzapine,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study;inhibitor/inducer study,10.1016/j.toxlet.2019.08.013,"oil red staining, liver tg con."
14968462,7548,sara.sepehri,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,berberine,human,in vitro,no,no,positive correlation,translational,translational study,https://doi.org/10.1016/j.taap.2016.12.019,
14968462,7548,sara.sepehri,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,berberine,mouse,in vivo,no,no,positive correlation,translational,translational study,https://doi.org/10.1016/j.taap.2016.12.019,
14968463,7544,alexandra.gatzios,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,sodium_valproate,human,in vitro,nomeasure,nomeasure,positive correlation,functional,knockout study,10.1016/j.taap.2017.03.022,"si-cd36, bodipy and nile red"
14968564,6181,anouk.verhoeven,fa_uptake,NA,cd36;novel,mir-26a,liver_triglyceride_accumulation,NA,triglyceride,NA,pollutant,pm_2.5,human,in vitro,nomeasure,nomeasure,positive correlation,functional;translational,inhibitor/inducer study;translational study,https://doi.org/10.1016/j.envpol.2019.01.112,"mir-26a regulates cd36, if mir-26a is upregulated, cd36 will be downregulated."
14968639,6181,anouk.verhoeven,fa_uptake,NA,cd36;novel,fabp1,liver_triglyceride_accumulation,NA,triglyceride,NA,food supplement,tetradecylthiopropionic_acid_(ttp),mouse,in vivo,yes,nomeasure,positive correlation,transcriptional,transcriptional study,10.1186/s12944-016-0192-9,NA
14968675,6181,anouk.verhoeven,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,not defined,NA,pollutant,"2,3,7,8_tetrachlorodibenzo_p_dioxin_(tcdd)",mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,other,10.1038/s41598-021-95214-0,was indicated in previous studies
14968716,6181,anouk.verhoeven,fa_uptake,NA,cd36;novel,fatp5,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,tolcapone_(comt_inhibitor),human,in vitro,yes,no,positive correlation,transcriptional,transcriptional study,10.1093/toxsci/kfy101,NA
14968767,6181,anouk.verhoeven,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,efavirenz,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study;knockout study,10.1016/j.jhep.2018.12.038,NA
14968767,6181,anouk.verhoeven,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,efavirenz,human,in vitro,yes,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study,10.1016/j.jhep.2018.12.038,NA
14968916,7548,sara.sepehri,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride;other,lipid droplets (plin2),pharmaceutical,valproic_acid_(vpa),mouse,in vitro,yes,no,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1155/2016/9576503,NA
14968916,7548,sara.sepehri,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,valproic_acid_(vpa),mouse,in vitro,yes,no,positive correlation,transcriptional,transcriptional study,https://doi.org/10.1155/2016/9576503,NA
14968928,7736,joost.boeckmans,fa_uptake,NA,novel,fabp4,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,clozapine,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,https://doi.org/ 10.3390/ijms22136680,
14968994,7736,joost.boeckmans,fa_uptake,NA,novel,fatp5,liver_triglyceride_accumulation,NA,not defined,NA,biocide,tebuconazole,human,in vitro,yes,nomeasure,positive correlation,transcriptional,transcriptional study,https://doi.org/ 10.3390/foods10102242,
14968994,7736,joost.boeckmans,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,not defined,NA,biocide,tebuconazole,human,in vitro,yes,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,https://doi.org/ 10.3390/foods10102242,
14968994,7736,joost.boeckmans,fa_uptake,NA,novel,fatp2,liver_triglyceride_accumulation,NA,not defined,NA,biocide,tebuconazole,human,in vitro,yes,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study,https://doi.org/ 10.3390/foods10102242,
14969068,7544,alexandra.gatzios,fa_uptake,NA,cd36,NA,liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,etomoxir,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.1194/jlr.ra119000177,
14969428,4990,ramiro.jover,fa_uptake,NA,cd36;other,"fabp1, fatp2, fatp5",liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,valproic_acid_(vpa),human,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational,translational study;transcriptional study,10.3389/fphar.2019.00819,figure 6a.figure 5d. figure 8
14969437,6181,anouk.verhoeven,fa_uptake,NA,novel,fatp5,liver_triglyceride_accumulation,NA,not defined,NA,pharmaceutical,acetaminophen,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;inhibitor/inducer study,,
14969524,6181,anouk.verhoeven,fa_uptake,NA,novel,fabp1a1,liver_triglyceride_accumulation,NA,not defined,NA,pollutant,mono_ethylhexyl_phthalic_acid_(mehp),fish,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;knockout study,doi:10.1017/s2040174420000057.,"mehp is the metabolite of the plasticizer dehp.ppara would regulated fabp1a1 however there was no correlatio,n found with mehp"
14969186,7549,marth.stinckens,fa_uptake,NA,cd36,NA,steatosis,NA,not defined,NA,pollutant,perfluorobutanesulfonic_acid_(pfbs),human,in vitro,yes,yes,positive correlation,functional,other,10.1080/02772248.2020.1808894,NA
14969244,5829,anna.s.rapisarda,fatty_liver,NA,other ,"tag, nefa",steatosis,NA,other,alt,food supplement,a_lactalbumin,mouse,in vivo,nomeasure,nomeasure,positive correlation,translational,translational study,10.1017/s000711451700232x,increased protein expression of cytosolic acc1 and fasn
14969305,7075,graciela.lopezsoop,fatty_liver,NA,triglyceride,NA,steatosis,NA,ast,NA,pollutant,ochratoxin,mouse,ex vivo,yes,nomeasure,positive correlation,functional,other,https://www.mdpi.com/2072-6651/13/11/802,
14969305,7075,graciela.lopezsoop,fatty_liver,NA,triglyceride,NA,steatosis,NA,ast,NA,pollutant,ochratoxin,human,in vitro,yes,nomeasure,positive correlation,functional,other,https://www.mdpi.com/2072-6651/13/11/802,
14969305,7075,graciela.lopezsoop,fatty_liver,NA,triglyceride,NA,steatosis,NA,ast,NA,pollutant,ochratoxin,mouse,in vitro,yes,nomeasure,positive correlation,functional,other,https://www.mdpi.com/2072-6651/13/11/802,
14968319,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,er_stress,NA,novel,"hspa5, hyou1",pollutant,bisphenol_a_(bpa),mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.lfs.2020.118012,"ovariectomized mice, already more sensitive to steatosis. the group ovx hfd mice exposed to the compound. er stress can agrrevate the steatosis condition but can also lead to progression from steaotosis to fibrosis. we speculate that the hepatic increase of hyou1 could counteract bpa deregulatory effects on the insulin pathwa"
14968418,6128,jian.jiang,liver_triglyceride_accumulation,NA,triglyceride,NA,er_stress,NA,novel,xbp-1,food supplement,palmitate,mouse,in vitro,nomeasure,nomeasure,positive correlation,transcriptional;translational;functional,transcriptional study;translational study;inhibitor/inducer study,10.1159/000487892,"palmitate-induced mrna expression of spliced xbp-1, an er stress marker"
14968127,7544,alexandra.gatzios,liver_triglyceride_accumulation,NA,not defined,"lipid droplets (plin2, plin3, plin5 and hilpda)",fatty_liver,NA,triglyceride,NA ,pharmaceutical,formoterol,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,10.1152/ajpendo.00651.2020,
14968127,7544,alexandra.gatzios,fatty_liver,NA,triglyceride,NA ,steatosis,NA,triglyceride,NA ,pharmaceutical,formoterol,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,10.1152/ajpendo.00651.2020,
14968193,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,fatty_liver,NA,triglyceride,NA,pharmaceutical,olanzapine,rat,in vivo,nomeasure,nomeasure,positive correlation,transcriptional;translational,transcriptional study;translational study;inhibitor/inducer study,10/1016/j.jep.2018.12.034,chronic treatment with olanzapine
14968288,7075,graciela.lopezsoop,liver_triglyceride_accumulation,NA,triglyceride,NA,fatty_liver,NA,other,lipid droplets,pollutant,carbon_tetrachloride_(ccl4),mouse,in vitro,nomeasure,yes,positive correlation,functional,translational study,https://doi.org/10.1016/j.ejphar.2016.02.068,
14968288,7075,graciela.lopezsoop,fatty_liver,NA,other,lipid droplets,steatosis,NA,other,lipid droplets,pollutant,carbon_tetrachloride_(ccl4),mouse,in vitro,nomeasure,yes,positive correlation,functional,translational study,https://doi.org/10.1016/j.ejphar.2016.02.068,
14968288,7075,graciela.lopezsoop,liver_triglyceride_accumulation,NA,triglyceride;cholesterol,NA,fatty_liver,NA,other,lipid droplets,pharmaceutical,tunicamycin,mouse,in vitro,nomeasure,yes,positive correlation,functional,translational study,https://doi.org/10.1016/j.ejphar.2016.02.068,
14968288,7075,graciela.lopezsoop,fatty_liver,NA,other,lipid droplets,steatosis,NA,other,lipid droplets,pharmaceutical,tunicamycin,mouse,in vitro,nomeasure,yes,positive correlation,functional,translational study,https://doi.org/10.1016/j.ejphar.2016.02.068,
14968498,7736,joost.boeckmans,liver_triglyceride_accumulation,NA,other,alt,fatty_liver,NA,not defined,NA,pollutant,cadmium,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,http://dx.doi.org/10.1016/j.clnu.2015.01.021,
14968444,7736,joost.boeckmans,liver_triglyceride_accumulation,NA,other,alt,steatosis,NA,other,alt,pollutant,cadmium,mouse,in vivo,nomeasure,nomeasure,positive correlation,transcriptional,transcriptional study,10.1021/acs.est.9b05131,#NAME?
14968498,7736,joost.boeckmans,liver_triglyceride_accumulation,NA,not defined,NA,fatty_liver,NA,not defined,NA,food supplement,fructose,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,http://dx.doi.org/10.1016/j.clnu.2015.01.021,
14968127,7544,alexandra.gatzios,liver_triglyceride_accumulation,liver triglyceride accumulation ,not defined,"lipid droplets (plin2, plin3, plin5 and hilpda)",liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,formoterol,mouse,in vivo,nomeasure,nomeasure,positive correlation,functional,other,10.1152/ajpendo.00651.2020,
14968625,7544,alexandra.gatzios,liver_triglyceride_accumulation,liver triglyceride accumulation ,not defined,"lipid droplets (plin2, plin3, plin5)",liver_triglyceride_accumulation,NA,triglyceride,NA,pharmaceutical,3_deazaadenosine,rat,in vitro,yes,nomeasure,positive correlation,functional;transcriptional,other;transcriptional study,10.3390/cells9061526,
14968077,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,mitochondrial_beta_oxidation,NA,cpt1;other,acaa1 and cpt2,pharmaceutical,benzobromarone,human,in vitro,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.bbadis.2018.03.009,compensatory mechanism proposed
14968077,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,triglyceride,NA,mitochondrial_beta_oxidation,NA,ppara;cpt1,NA,pharmaceutical,benzobromarone,mouse,in vivo,yes,nomeasure,positive correlation,transcriptional;functional,transcriptional study,https://doi.org/10.1016/j.bbadis.2018.03.009,compensatory mechanism proposed
14968292,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,novel;triglyceride,"adpr, free fatty acids",mitochondrial_beta_oxidation,NA,novel;cpt1,palmitate and acylcarnitines,pharmaceutical,valproic_acid_(vpa),human,in vitro,yes,yes,positive correlation,functional;transcriptional,inhibitor/inducer study;transcriptional study,https://doi.org/10.1016/j.bcp.2020.113860,chronic exposure to vpa for 3 and 7 days will lead to an increase in plamitate oxidation. can be explained by an increase over time in the proliferation number of mitochondria and is explained as an compensatory mechanism. cpt mrna was increased. decrease in the metabolism of long-chain acyl-coas
14968319,6181,anouk.verhoeven,liver_triglyceride_accumulation,NA,novel,free fatty acids,mitochondrial_beta_oxidation,NA,novel,acadvl,pollutant,bisphenol_a_(bpa),mouse,in vivo,nomeasure,nomeasure,negative correlation,transcriptional,transcriptional study,https://doi.org/10.1016/j.lfs.2020.118012,"ovariectomized mice, already more sensitive to steatosis. the group ovx hfd mice exposed to the compound leaded to increased fao mito and perox as a compensatory mech"
