Article.ID;User.ID;User.Name;KE..Up.;Novel.KE.Up.;KE.up..biomarker;Novel.other.biomarker.KE.up.;KE.Down.;Novel.KE.Down.;KE.down..biomarker;Novel.other.biomarker.KE.down.;Stressor.BA.BP.;chemical;Species.BA.BP.;Test.system.BA.BP.;Dose.concordance..EP.;Time.concordance..EP.;Correlation.KEs..BP.ES.;Evidence.level..EP.ES.BP.BA.;assay.method..EP.ES.BA.
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OSTa/b;nan;bile acid metabolism changes;nan;CYP2B6;CYP3A4;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OSTa/b;nan;nuclear receptor changes;nan;novel;CYP3A4;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OATP1B1(SLCO1B1);nan;bile acid metabolism changes;nan;CYP2B6;CYP3A4;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OATP1B1(SLCO1B1);nan;nuclear receptor changes;nan;novel;CYP3A4;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;bile acid metabolism changes;nan;CYP2B6;CYP3A4;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;novel;CYP3A4;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OATP1B1(SLCO1B1);nan;bile acid synthesis changes;nan;CYP7A1;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OATP1B1(SLCO1B1);nan;nuclear receptor changes;nan;PXR(NR1I2) ;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OATP1B1(SLCO1B1);nan;nuclear receptor changes;nan;FXR(NR1H4) ;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OATP1B1(SLCO1B1);nan;nuclear receptor changes;nan;CAR(NR1I3) ;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OATP1B1(SLCO1B1);nan;nuclear receptor changes;nan;novel;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;OATP1B1(SLCO1B1);nan;nuclear receptor changes;nan;UGT2B4;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;bile acid synthesis changes;nan;CYP7A1;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;PXR(NR1I2) ;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;FXR(NR1H4) ;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;CAR(NR1I3) ;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;novel;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967771;6058;Jonas.Werner.E.Van.Ertvelde;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;UGT2B4;HNF4A,MTTP,PCK2,PON1,PPARG,PPARGC1A;pharmaceutical;bosentan;human; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967656;6930;milos.mihajlovic;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational;  translational study
14967656;6930;milos.mihajlovic;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational;  translational study
14967656;6930;milos.mihajlovic;transporter changes;nan; MRP3(ABCC3);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational;  translational study
14967656;6930;milos.mihajlovic;transporter changes;nan;MRP4(ABCC4);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational;  translational study
14967656;6930;milos.mihajlovic;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational;  translational study
14967646;6128;jian.jiang;transporter changes;nan; MRP3(ABCC3);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; translational";"transcriptional study;  translational study; inhibitor/inducer study"
14967646;6128;jian.jiang;transporter changes;nan;MRP4(ABCC4);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;"transcriptional; translational";"transcriptional study;  translational study; inhibitor/inducer study"
14967531;6912;julen.sanz.serrano;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical; translational"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical; translational"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;novel;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical; translational"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;novel;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;nuclear receptor changes;nan;novel;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;OATP1B3;nan;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;OATP1B3;nan;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;OATP1B3;nan;nuclear receptor changes;nan;novel;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;novel;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan; MRP3(ABCC3);nan;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan; MRP3(ABCC3);nan;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan; MRP3(ABCC3);nan;nuclear receptor changes;nan;novel;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;MRP4(ABCC4);nan;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;MRP4(ABCC4);nan;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;transporter changes;nan;MRP4(ABCC4);nan;nuclear receptor changes;nan;novel;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967468;6930;milos.mihajlovic;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;pharmaceutical;Triptolide; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;  translational study
14967468;6930;milos.mihajlovic;transporter changes;nan;OATP1B3;nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;pharmaceutical;Triptolide; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;  translational study
14967468;6930;milos.mihajlovic;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;pharmaceutical;Triptolide; mouse;in vivo;nomeasure;nomeasure;NO CORRELATION;transcriptional;  translational study
14967740;6930;milos.mihajlovic;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;NO CORRELATION; translational;  translational study
14967740;6930;milos.mihajlovic;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;pharmaceutical;17a_ethynylestradiol; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational;  translational study
14967727;6128;jian.jiang;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;pharmaceutical;cholic acid; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional; inhibitor/inducer study
14967727;6128;jian.jiang;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;SHP ;nan;pharmaceutical;cholic acid; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional; inhibitor/inducer study
14967727;6128;jian.jiang;transporter changes;nan; MRP3(ABCC3);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;pharmaceutical;cholic acid; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional; inhibitor/inducer study
14967727;6128;jian.jiang;transporter changes;nan; MRP3(ABCC3);nan;nuclear receptor changes;nan;SHP ;nan;pharmaceutical;cholic acid; mouse;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional; inhibitor/inducer study
14967459;6930;milos.mihajlovic;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;nuclear receptor changes;nan;SHP ;nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;  translational study
14967459;6930;milos.mihajlovic;transporter changes;nan;OATP1a1;nan;nuclear receptor changes;nan;SHP ;nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;  translational study
14967459;6930;milos.mihajlovic;transporter changes;nan;OATP1B3;nan;nuclear receptor changes;nan;SHP ;nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;transcriptional;  translational study
14967459;6930;milos.mihajlovic;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;SHP ;nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;  translational study
14967459;6930;milos.mihajlovic;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;SHP ;nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION;transcriptional;  translational study
14967459;6930;milos.mihajlovic;transporter changes;nan;OATP1a4;nan;nuclear receptor changes;nan;SHP ;nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;NO CORRELATION;transcriptional;  translational study
14967447;6128;jian.jiang;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;SHP ;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;nuclear receptor changes;nan;SHP ;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;SHP ;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;POSITIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan;BSEP(ABCB11);nan;bile acid synthesis changes;nan;CYP7A1;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan;BSEP(ABCB11);nan;bile acid synthesis changes;nan;CYP27A1;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;bile acid synthesis changes;nan;CYP7A1;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;bile acid synthesis changes;nan;CYP27A1;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan; MRP2(ABCC2);nan;bile acid synthesis changes;nan;CYP7A1;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; translational; inhibitor/inducer study
14967447;6128;jian.jiang;transporter changes;nan; MRP2(ABCC2);nan;bile acid synthesis changes;nan;CYP27A1;nan;ANIT;a_naphthylisothiocyanate; rat; in vitro;nomeasure;nomeasure;NEGATIVE CORRELATION; translational; inhibitor/inducer study
14967438;6912;julen.sanz.serrano;transporter changes;nan;BSEP(ABCB11);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational; inhibitor/inducer study
14967438;6912;julen.sanz.serrano;transporter changes;nan;NTCP(LBAT/SLC10A1);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational; inhibitor/inducer study
14967438;6912;julen.sanz.serrano;transporter changes;nan; MRP2(ABCC2);nan;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; rat;in vivo;nomeasure;nomeasure;POSITIVE CORRELATION; translational; inhibitor/inducer study
14967880;6058;Jonas.Werner.E.Van.Ertvelde;nuclear receptor changes;nan;FXR(NR1H4) ;nan;nuclear receptor changes;nan;SHP ;nan; other;DY268;human; in vitro;True;nomeasure;POSITIVE CORRELATION;" functional;transcriptional";" other;transcriptional study; inhibitor/inducer study"
14967880;6058;Jonas.Werner.E.Van.Ertvelde;nuclear receptor changes;nan;FXR(NR1H4) ;nan;nuclear receptor changes;nan;SHP ;nan;pharmaceutical;benzbromarone;human; in vitro;True;nomeasure;POSITIVE CORRELATION;" functional;transcriptional";" other;transcriptional study; inhibitor/inducer study"
14967880;6058;Jonas.Werner.E.Van.Ertvelde;nuclear receptor changes;nan;FXR(NR1H4) ;nan;nuclear receptor changes;nan;SHP ;nan;pharmaceutical;ritonavir;human; in vitro;True;nomeasure;POSITIVE CORRELATION;" functional;transcriptional";" other;transcriptional study; inhibitor/inducer study"
14967880;6058;Jonas.Werner.E.Van.Ertvelde;nuclear receptor changes;nan;FXR(NR1H4) ;nan;nuclear receptor changes;nan;SHP ;nan;pharmaceutical;bosentan;human; in vitro;True;nomeasure;POSITIVE CORRELATION;" functional;transcriptional";" other;transcriptional study; inhibitor/inducer study"
14967880;6058;Jonas.Werner.E.Van.Ertvelde;nuclear receptor changes;nan;FXR(NR1H4) ;nan;nuclear receptor changes;nan;SHP ;nan;pharmaceutical;troglitazone;human; in vitro;True;nomeasure;POSITIVE CORRELATION;" functional;transcriptional";" other;transcriptional study; inhibitor/inducer study"
14967832;6930;milos.mihajlovic;bile acid metabolism changes;nan;CYP2B6;CYP2B10;nuclear receptor changes;nan;FXR(NR1H4) ;nan;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NO CORRELATION;"transcriptional; translational";  translational study
14967758;6912;julen.sanz.serrano;bile acid synthesis changes;nan;CYP7A1;nan;nuclear receptor changes;nan;PXR(NR1I2) ;LXR;pharmaceutical;epistane;human; in vitro;True;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967758;6912;julen.sanz.serrano;bile acid synthesis changes;nan;CYP7A1;nan;nuclear receptor changes;nan;novel;LXR;pharmaceutical;epistane;human; in vitro;True;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967758;6912;julen.sanz.serrano;bile acid synthesis changes;nan;CYP8B1;nan;nuclear receptor changes;nan;PXR(NR1I2) ;LXR;pharmaceutical;epistane;human; in vitro;True;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967758;6912;julen.sanz.serrano;bile acid synthesis changes;nan;CYP8B1;nan;nuclear receptor changes;nan;novel;LXR;pharmaceutical;epistane;human; in vitro;True;nomeasure;POSITIVE CORRELATION;transcriptional;transcriptional study
14967531;6912;julen.sanz.serrano;bile acid synthesis changes;nan;CYP8B1;UTG1A1;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical; translational;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;bile acid synthesis changes;nan;CYP8B1;UTG1A1;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical; translational;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;bile acid metabolism changes;nan;UGT1A1;UGT1A1;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical; translational;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;bile acid metabolism changes;nan;UGT1A1;UGT1A1;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical; translational;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;bile acid synthesis changes;nan;CYP7A1;UTG1A1;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;bile acid synthesis changes;nan;CYP7A1;UTG1A1;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;bile acid synthesis changes;nan;CYP7A1;UTG1A1;nuclear receptor changes;nan;novel;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;bile acid metabolism changes;nan;SULT2A1;UTG1A1;nuclear receptor changes;nan;FXR(NR1H4) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;bile acid metabolism changes;nan;SULT2A1;UTG1A1;nuclear receptor changes;nan;PXR(NR1I2) ;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
14967531;6912;julen.sanz.serrano;bile acid metabolism changes;nan;SULT2A1;UTG1A1;nuclear receptor changes;nan;novel;AhR, PPAR alpha;ANIT;a_naphthylisothiocyanate; mouse;in vivo;nomeasure;nomeasure;NEGATIVE CORRELATION;"clinical;transcriptional"; inhibitor/inducer study
